Crop,Quantity_Kg,Price_INR
Wheat,30,750
Wheat,45,1125
Wheat,35,875
Wheat,40,1000
Wheat,25,625
Wheat,30,750
Corn,20,600
Corn,25,750
Corn,40,1200
Corn,45,1350
Corn,30,900
Corn,35,1050
Rice,15,750
Rice,20,1000
Rice,50,2500
Rice,45,2250
Rice,40,2000
Rice,50,2500
Soybean,25,500
Soybean,30,600
Soybean,35,700
Soybean,40,800
Soybean,30,600
Soybean,35,700
Cotton,10,350
Cotton,15,400
Cotton,12,360
Cotton,18,540
Cotton,8,240
Cotton,10,300
Barley,18,522
Barley,22,638
Barley,25,725
Barley,30,870
Barley,20,580
Barley,25,725
Potato,30,900
Potato,35,1050
Potato,40,1200
Potato,45,1350
Potato,38,1140
Potato,42,1260
Apple,25,6250
Apple,30,7500
Apple,35,8750
Apple,40,10000
Orange,32,2240
Orange,37,2590
Orange,35,2450
Orange,40,2800
Orange,30,2100
Orange,35,2450
Grapes,22,4400
Grapes,27,5400
Grapes,25,5000
Grapes,30,6000
Grapes,18,3600
Grapes,22,4400
Strawberry,15,900
Strawberry,20,1200
Strawberry,22,1080
Strawberry,28,1440
Strawberry,30,1620
Strawberry,35,1890
Banana,10,800
Banana,15,1200
Banana,18,1440
Banana,22,1760
Mango,25,2000
Mango,30,2400
Mango,32,2560
Mango,37,2960
Pineapple,20,800
Pineapple,25,1000
Rice,45,2250
Apple,40,10000
Corn,30,900
Potato,18,1140
Grapes,22,4400
Strawberry,28,1440
Potato,32,1260
Barley,18,522
Orange,30,2100
Banana,15,1200
Rice,40,2000
Soybean,30,600
Strawberry,15,900
Cotton,10,350
Strawberry,35,1890
Strawberry,22,1080
Mango,37,2960
Rice,50,2500
Corn,45,1350
Grapes,30,6000
Apple,35,8750
Potato,42,1260
Strawberry,30,1620
Grapes,22,4400
Grapes,27,5400
Potato,45,1350
Soybean,40,800
Apple,30,7500
Grapes,25,5000
Soybean,35,700
Barley,25,725
Wheat,35,875
Strawberry,20,1200
Orange,35,2450
Grapes,18,3600
Banana,18,1440
Orange,30,2100
Corn,35,1050
Pineapple,40,4000
Wheat,45,1125
Potato,40,1200
Rice,50,2500
Orange,35,2450
Potato,45,1350
Mango,30,2400
Corn,40,1200
Orange,32,2240
Wheat,30,750
Wheat,30,750
Cotton,8,240
Apple,40,10000
Mango,37,2960
Barley,20,580
Cotton,12,360
Pineapple,37,2960
Wheat,25,625
Banana,22,1760
Banana,15,1200
Rice,15,750
Pineapple,25,2500
Cotton,15,400
Apple,25,6250
Strawberry,22,1080
Corn,45,1350
Barley,30,870
Cotton,10,350
Grapes,22,4400
Corn,30,900
Barley,22,638
Mango,32,2560
Potato,42,1260
Orange,37,2590
Orange,40,2800
Pineapple,32,3200
Corn,20,600
Rice,45,2250
Potato,35,1050
Potato,38,1140
Cotton,18,540
Potato,30,900
Soybean,30,600
Pineapple,35,3500
Rice,40,2000
Grapes,25,5000
Strawberry,35,1890
Cotton,10,350
Wheat,40,1000
Soybean,25,500
Strawberry,30,1620
Banana,22,1760
Barley,20,580
Rice,35,2450
Orange,40,2800
Strawberry,15,900
Corn,35,1050
Cotton,15,400
Pineapple,35,3500
Wheat,30,750
Soybean,40,800
Mango,30,2400
Potato,38,1140
Grapes,30,6000
Banana,15,1200
Strawberry,22,1080
Apple,40,10000
Orange,30,2100
Cotton,8,240
Pineapple,20,2000
Mango,32,2560
Barley,18,522
Soybean,30,600
Rice,45,2250
Potato,30,900
Orange,35,2450
Banana,15,1200
Strawberry,20,1200
Grapes,18,3600
Wheat,45,1125
Cotton,10,350
Pineapple,28,2800
Mango,37,2960
Apple,35,8750
Corn,20,600
Soybean,35,700
Barley,25,725
Orange,32,2240
Strawberry,30,1620
Banana,18,1440
Grapes,22,4400
Potato,45,1350
Cotton,10,350
Rice,50,2500
Apple,25,6250
Wheat,35,875
Mango,30,2400
Pineapple,32,3200
Corn,45,1350
Soybean,30,600
Strawberry,35,1890
Grapes,27,5400
Orange,30,2100
Barley,30,870
Potato,40,1200
Cotton,15,400
Banana,22,1760
Wheat,25,625
Pineapple,25,2500
Strawberry,28,1440
Rice,40,2000
Soybean,25,500
Mango,25,2000
Orange,35,2450
Cotton,18,540
Barley,22,638
Potato,35,1050
Apple,30,7500
Grapes,25,5000
Strawberry,22,1080
Corn,30,900
Banana,10,800
Pineapple,35,3500
Orange,37,2590
Barley,20,580
Soybean,35,700
Rice,15,750
Wheat,30,750
Mango,37,2960
Cotton,15,400
Potato,38,1140
Apple,40,10000
Strawberry,22,1080
Orange,40,2800
Grapes,22,4400
Soybean,40,800
Banana,15,1200
Corn,35,1050
Rice,45,2250
Barley,25,725
Pineapple,20,2000
Strawberry,15,900
Mango,30,2400
Barley,18,522
Pineapple,35,3500
Strawberry,35,1890
Rice,35,2450
Banana,15,1200
Apple,30,7500
Grapes,18,3600
Orange,32,2240
Cotton,8,240
Mango,32,2560
Soybean,35,700
Corn,45,1350
Potato,30,900
Barley,22,638
Orange,35,2450
Wheat,40,1000
Strawberry,28,1440
Apple,25,6250
Pineapple,25,2500
Mango,37,2960
Cotton,18,540
Banana,10,800
Barley,30,870
Grapes,25,5000
Strawberry,30,1620
Rice,40,2000
Corn,30,900
Potato,40,1200
Orange,30,2100
Banana,22,1760
Soybean,40,800
Apple,40,10000
Pineapple,32,3200
Strawberry,22,1080
Cotton,10,350
Mango,30,2400
Barley,20,580
Orange,40,2800
Potato,45,1350
Rice,45,2250
Apple,35,8750
Grapes,30,6000
Corn,20,600
Soybean,30,600
Pineapple,20,2000
Banana,15,1200
Strawberry,15,900
Orange,37,2590
Mango,25,2000
Barley,25,725
Cotton,15,400
Potato,35,1050
Apple,35,8750
Grapes,27,5400
Strawberry,20,1200
Banana,18,1440
Soybean,25,500
Rice,15,750
Pineapple,28,2800
Wheat,45,1125
Corn,35,1050
Barley,25,725
Orange,35,2450
Strawberry,22,1080
Mango,37,2960
Cotton,15,400
